Date,Log_Return_Clean
2015-01-02,-0.005024976425530902
2015-01-05,-0.005924391802244958
2015-01-06,-0.007029237935168258
2015-01-07,-0.005626074956745745
2015-01-08,-0.005056648482494995
2015-01-09,-0.006879504841668652
2015-01-12,-0.00713157857356274
2015-01-13,-0.006567522710295183
2015-01-14,-0.004082839793940538
2015-01-15,-0.0013826005125400628
2015-01-16,0.0033727790080504134
2015-01-20,0.005722239002605602
2015-01-21,0.006295352260582558
2015-01-22,0.00763787790267152
2015-01-23,0.00405554684359252
2015-01-26,0.0012410374504783
2015-01-27,-0.001933004381226744
2015-01-28,-0.0035188686471302943
2015-01-29,-0.0004972197899566872
2015-01-30,0.0016440920073576195
2015-02-02,0.006870978949925265
2015-02-03,0.006671818657557927
2015-02-04,0.0027002871099384256
2015-02-05,0.0002666531167838872
2015-02-06,-0.005180321617244903
2015-02-09,-0.003760525625124364
2015-02-10,-0.00020428804081243146
2015-02-11,0.0014322877347606195
2015-02-12,0.00413371506863697
2015-02-13,0.004224503179772838
2015-02-17,0.006860153554737402
2015-02-18,0.010389712071199247
2015-02-19,0.01480320535554725
2015-02-20,0.017938241000236495
2015-02-23,0.01422821940771315
2015-02-24,0.010867409891032378
2015-02-25,0.006603676280911695
2015-02-26,0.002507503779746932
2015-02-27,0.0017428667697935002
2015-03-02,0.0012244331515478065
2015-03-03,-0.000414022860265244
2015-03-04,-0.0008676680238655567
2015-03-05,-0.002055658179176213
2015-03-06,-0.004269892228364563
2015-03-09,-0.003930417334235988
2015-03-10,-0.0036300523136891935
2015-03-11,0.00026636169389635737
2015-03-12,0.004614451648609283
2015-03-13,0.0071510287922948775
2015-03-16,0.00834615571687384
2015-03-17,0.006441965953921077
2015-03-18,0.004717165835449101
2015-03-19,0.002506715747391032
2015-03-20,-0.00032538328169922455
2015-03-23,-0.003186364019866669
2015-03-24,-0.005854563323553738
2015-03-25,-0.006638948609095657
2015-03-26,-0.00531035252770267
2015-03-27,-0.002637424683741513
2015-03-30,0.00022926702612033117
2015-03-31,0.0009154193969793875
2015-04-01,0.001397944105203644
2015-04-02,0.0012432006143149378
2015-04-06,0.00012075470373200658
2015-04-07,0.001184462341177607
2015-04-08,0.001439990631181582
2015-04-09,0.001100358243824488
2015-04-10,0.0013214834826887505
2015-04-13,-0.0004552509842560002
2015-04-14,-0.002454235600939751
2015-04-15,-0.00321907151472472
2015-04-16,-0.003699249391618876
2015-04-17,-0.0009911678326702065
2015-04-20,0.00422654085057577
2015-04-21,0.007910625674080959
2015-04-22,0.011113001215532773
2015-04-23,0.010283104673487073
2015-04-24,0.006391396728520128
2015-04-27,0.0029395351851577824
2015-04-28,-0.0004261940589357126
2015-04-29,-0.001570851958093369
2015-04-30,-0.002131227478033232
2015-05-01,-0.0020671455396083565
2015-05-04,-0.001766670100223169
2015-05-05,-0.0006504981799947816
2015-05-06,0.0015097327790628812
2015-05-07,0.003688763591901613
