Date,Log_Return_Clean
2015-01-02,-0.005152021205458289
2015-01-05,-0.009760129666071041
2015-01-06,-0.009417790545704015
2015-01-07,-0.004328556692202808
2015-01-08,-0.000955723481160801
2015-01-09,-0.0022506970282127822
2015-01-12,-0.0048488231858881585
2015-01-13,-0.006445335396361871
2015-01-14,-0.005272863700539739
2015-01-15,0.0013365570210163435
2015-01-16,0.007091748223607202
2015-01-20,0.00927717949576884
2015-01-21,0.010071594011913052
2015-01-22,0.004680355705758901
2015-01-23,-0.0019132166675998753
2015-01-26,-0.004878000918137063
2015-01-27,-0.010189153698736401
2015-01-28,-0.01014299654156989
2015-01-29,-0.006726239349794244
2015-01-30,-0.005442941760110656
2015-02-02,0.0012672560150561833
2015-02-03,0.006842343846694879
2015-02-04,0.006815176948731435
2015-02-05,0.008537600599314297
2015-02-06,0.006323308208501959
2015-02-09,0.0024014318439356578
2015-02-10,0.004102169988641239
2015-02-11,0.002251876493724664
2015-02-12,0.0013200171090162818
2015-02-13,0.0038505101202069075
2015-02-17,0.004553883901399051
2015-02-18,0.006670099897782389
2015-02-19,0.010009326703380502
2015-02-20,0.008161941453228135
2015-02-23,0.005048572851774458
2015-02-24,0.0034105094957180577
2015-02-25,0.0008873322687300882
2015-02-26,-0.0010750293904214993
2015-02-27,-0.0021522399232061055
2015-03-02,-0.004711770168785612
2015-03-03,-0.00971535482096092
2015-03-04,-0.009206969393452476
2015-03-05,-0.009568645826747246
2015-03-06,-0.009248705926416564
2015-03-09,-0.005274056140559058
2015-03-10,-0.003856816330597945
2015-03-11,0.0008879125940230497
2015-03-12,0.004744011389045082
2015-03-13,0.006669072108921927
2015-03-16,0.005867184445645677
2015-03-17,0.001955605162604744
2015-03-18,-0.0006338358056426816
2015-03-19,-0.0034090223249952077
2015-03-20,-0.006876667008469196
2015-03-23,-0.010345135841828916
2015-03-24,-0.012767966054427154
2015-03-25,-0.014577972672738072
2015-03-26,-0.010890036374680428
2015-03-27,-0.006294189608389719
2015-03-30,-0.004800903168540751
2015-03-31,-0.0034709305964844635
2015-04-01,-0.00487672583589347
2015-04-02,-0.004876726172825039
2015-04-06,-0.0026546061633186888
2015-04-07,-5.763375071913407e-06
2015-04-08,0.0025526286751124186
2015-04-09,0.002075840457024031
2015-04-10,0.0015169267641878563
2015-04-13,-0.0011811310955099946
2015-04-14,-0.004536583465176958
2015-04-15,-0.005283042940487877
2015-04-16,-0.006118899406417908
2015-04-17,-0.003156118905237538
2015-04-20,0.0011874024387296756
2015-04-21,0.0025533456761759263
2015-04-22,-0.0035909948074443515
2015-04-23,-0.011513917518675986
2015-04-24,-0.019867693107741332
2015-04-27,-0.02602827729453049
2015-04-28,-0.019127781557812695
2015-04-29,-0.01292222761265745
2015-04-30,-0.00857943112881749
2015-05-01,-0.003616742697293107
2015-05-04,-0.004975893495788988
2015-05-05,-0.0050751223868853316
2015-05-06,-0.0012289885377546187
2015-05-07,0.001252271043048657
2015-05-08,0.003751336543928426
2015-05-11,0.004888848452509651
2015-05-12,0.003979056957130807
2015-05-13,0.003516567606564307
2015-05-14,0.002843551399968988
2015-05-15,0.002773739083857138
2015-05-18,0.002056772695963819
2015-05-19,0.0012764956247342065
2015-05-20,0.0007782855203382563
2015-05-21,0.0016462713188927257
2015-05-22,0.0021388348426120197
2015-05-26,0.0019524075774109884
2015-05-27,0.002944985325587595
2015-05-28,0.0017322934897165943
2015-05-29,0.0010842952860135129
2015-06-01,0.0008976299349565754
2015-06-02,-0.0005892696418209499
2015-06-03,-0.0022959730562676127
2015-06-04,-0.003692869630422601
2015-06-05,-0.003537483824830539
2015-06-08,-0.00420147365336007
2015-06-09,-0.003408862239251826
2015-06-10,-0.002642953447693195
2015-06-11,-0.0032705461504579513
2015-06-12,-0.002875206694085657
2015-06-15,-0.0013869869431930068
2015-06-16,-0.0007242740200532752
2015-06-17,9.166061338033147e-05
2015-06-18,0.0021837782704996382
2015-06-19,0.002300592786103726
2015-06-22,0.003337235565381383
2015-06-23,0.0029589706989557197
2015-06-24,-0.0007638589914948006
2015-06-25,-0.004375602948261807
2015-06-26,-0.007181507855856022
2015-06-29,-0.007468735946938778
2015-06-30,-0.004880162901128152
2015-07-01,-0.0022449316950204326
2015-07-02,-0.0036609841468914083
2015-07-06,-0.0066957354461444595
