Date,Log_Return_Clean
2015-01-02,0.001374467550162625
2015-01-05,-0.0011756855108430379
2015-01-06,-0.0009277778042280939
2015-01-07,0.0019249146899440446
2015-01-08,0.0029144325254201265
2015-01-09,0.0017978111529826388
2015-01-12,-0.0007469558505415743
2015-01-13,-0.002144130207055975
2015-01-14,-0.0010427950957339314
2015-01-15,0.0018031355176579816
2015-01-16,0.006234695241249327
2015-01-20,0.008077192483227847
2015-01-21,0.008304997000265508
2015-01-22,0.007100675871721296
2015-01-23,0.00330276534627887
2015-01-26,0.0012050834087217132
2015-01-27,-0.0016735234225078942
2015-01-28,-0.0034612671726213695
2015-01-29,-0.0020911629077121126
2015-01-30,-0.0020928514244196
2015-02-02,0.0014997848770809195
2015-02-03,0.00366582418116032
2015-02-04,0.002893687701780757
2015-02-05,0.00430913872993267
2015-02-06,0.0029460661732963515
2015-02-09,0.0053821668811587136
2015-02-10,0.009699734731861196
2015-02-11,0.010951041839263678
2015-02-12,0.012304677591586821
2015-02-13,0.009509652428991027
2015-02-17,0.005977733731463582
2015-02-18,0.0034433037477414317
2015-02-19,0.002405511337322369
2015-02-20,0.0028872006056768823
2015-02-23,0.0032508849055543814
2015-02-24,0.0037416378226180005
2015-02-25,0.0036812090372658254
2015-02-26,0.001987034059666356
2015-02-27,-0.00013465654513393827
2015-03-02,-0.001191407880063595
2015-03-03,-0.004667146394170227
2015-03-04,-0.00426439929053732
2015-03-05,-0.00441791123979182
2015-03-06,-0.00519322148902542
2015-03-09,-0.003204859789812551
2015-03-10,-0.00445109663299092
2015-03-11,-0.0017977485231029126
2015-03-12,0.00033693326190941894
2015-03-13,0.001962697325449988
2015-03-16,0.004893294308717263
2015-03-17,0.00457099903594012
2015-03-18,0.004442014345703751
2015-03-19,0.003423247691141251
2015-03-20,-0.0011646516358695368
2015-03-23,-0.005955482281445251
2015-03-24,-0.008752883457118232
2015-03-25,-0.00937513767421505
2015-03-26,-0.0046950559658986
2015-03-27,-9.05676675883681e-05
2015-03-30,0.0019232294943783506
2015-03-31,0.0010999135495612564
2015-04-01,-0.0007901678449447377
2015-04-02,-0.001140012629197444
2015-04-06,6.13041609901125e-05
2015-04-07,0.0023285016807464446
2015-04-08,0.00289796680180222
2015-04-09,0.002182608659097113
2015-04-10,0.0017993803890588318
2015-04-13,0.0015922263932445257
2015-04-14,0.0014275487495152505
2015-04-15,0.003214015115531976
2015-04-16,0.0020756966825114945
2015-04-17,0.0016527812266406692
2015-04-20,-0.0013903899477402254
2015-04-21,-0.006744897814966101
2015-04-22,-0.009126129572278974
2015-04-23,-0.013308578284739062
2015-04-24,-0.009558166443692057
2015-04-27,-0.0059613269944057
2015-04-28,-0.003001126941939456
2015-04-29,0.0008519038811853754
2015-04-30,-0.0010314067084057253
2015-05-01,-0.001409147168050332
2015-05-04,-0.002939646603925301
2015-05-05,-0.003859270395720045
2015-05-06,-0.002205672524482295
2015-05-07,-0.0010702763879732438
2015-05-08,0.0010825672985238378
2015-05-11,0.002795640800060407
2015-05-12,0.00362899475578907
2015-05-13,0.004926081678541501
2015-05-14,0.0054353473118980145
2015-05-15,0.00442658631423647
2015-05-18,0.002973826171187807
2015-05-19,0.0006598292126784376
2015-05-20,-0.001955694606821863
2015-05-21,-0.0015973428867599566
2015-05-22,-0.00101357166818585
2015-05-26,7.645152528026921e-05
2015-05-27,0.0027622342976381447
2015-05-28,0.0015721762042790444
2015-05-29,-3.857203161514977e-05
2015-06-01,-0.002863089305469169
2015-06-02,-0.0063587701005626395
2015-06-03,-0.00836069267838722
2015-06-04,-0.009494301250908577
2015-06-05,-0.0070448460396751456
2015-06-08,-0.005027373541492707
2015-06-09,-0.001991790744762563
2015-06-10,0.0004458744675641561
2015-06-11,-0.0010785376206688944
2015-06-12,-0.0013131464785060632
2015-06-15,-0.0001269890792855314
2015-06-16,0.0014165498337198254
2015-06-17,0.005472915564113389
2015-06-18,0.007662637203766809
2015-06-19,0.005986366750245746
2015-06-22,0.0034700994224398387
2015-06-23,-0.0023032452356287134
2015-06-24,-0.007975538346618797
2015-06-25,-0.010648802403091816
2015-06-26,-0.012064501215714292
2015-06-29,-0.010174353829181372
2015-06-30,-0.006440517982906983
2015-07-01,-0.003866627877270514
2015-07-02,-0.004564831911562789
2015-07-06,-0.00827979878443769
2015-07-07,-0.011085611641986078
2015-07-08,-0.013058181023770724
2015-07-09,-0.009835306366733196
2015-07-10,-0.0032442441057135936
2015-07-13,0.0001641972076244073
2015-07-14,0.0025398063881526944
2015-07-15,0.0026633740256784507
2015-07-16,0.0018234397523339693
2015-07-17,0.0013026881967504564
2015-07-20,0.002704135788318119
2015-07-21,0.0009542136954041941
2015-07-22,-0.0014846116477081565
2015-07-23,-0.0004274905397954625
2015-07-24,-0.002125396333006119
2015-07-27,0.001160858101957432
2015-07-28,0.0042972475514359825
2015-07-29,0.003754380922212083
2015-07-30,0.0038625492213934954
2015-07-31,0.002679682680396607
2015-08-03,0.001391251068563738
2015-08-04,0.0012393453966222383
2015-08-05,0.004137329803214239
2015-08-06,0.0030997934763322705
2015-08-07,0.0038236596198186457
2015-08-10,0.0039211779188036274
2015-08-11,-0.0005789345486061497
2015-08-12,1.2071380229056574e-05
2015-08-13,-0.002533454451133157
2015-08-14,-0.004707995516601582
2015-08-17,-0.007048494049766151
2015-08-18,-0.013749263842732354
2015-08-19,-0.018889734623400448
2015-08-20,-0.024766110789937595
2015-08-21,-0.02339331991593022
2015-08-24,-0.01675839962316999
2015-08-25,-0.00595936833505035
