Date,Log_Return
2015-01-02,-0.00955819439215545
2015-01-05,-0.028576154831734875
2015-01-06,9.432113181347925e-05
2015-01-07,0.013924564385387967
2015-01-08,0.037702604662514606
2015-01-09,0.0010718951952648566
2015-01-12,-0.02494935087348132
2015-01-13,0.00883955969089095
2015-01-14,-0.0038179139960990366
2015-01-15,-0.027515111112465233
2015-01-16,-0.007800937376948919
2015-01-20,0.025431399680035213
2015-01-21,0.0076050869145709585
2015-01-22,0.025682764129131345
2015-01-23,0.005147033984471957
2015-01-26,0.001061483483157542
2015-01-27,-0.03564091668466975
2015-01-28,0.054992619744989986
2015-01-29,0.030659145693352423
2015-01-30,-0.014742662512048664
2015-02-02,0.012468946297942877
2015-02-03,0.00016858741284587542
2015-02-04,0.007640347917455893
2015-02-05,0.007112193715273008
2015-02-06,-0.008456522395729575
2015-02-09,0.006620478063529165
2015-02-10,0.019029432855885656
2015-02-11,0.023168235475639523
2015-02-12,0.012572887939363444
2015-02-13,0.004890667589443795
2015-02-17,0.00588427307848265
2015-02-18,0.00693825495939722
2015-02-19,-0.0020998078924987433
2015-02-20,0.008141210004842872
2015-02-23,0.026668480213523547
2015-02-24,-0.006260558857662878
2015-02-25,-0.025905399139270088
2015-02-26,0.01257674387412845
2015-02-27,-0.015142429281363827
2015-03-02,0.004891975927670141
2015-03-03,0.002089607108723367
2015-03-04,-0.006358893035532209
2015-03-05,-0.016709712898581117
2015-03-06,0.0015020928404992204
2015-03-09,0.004256051942158617
2015-03-10,-0.02090270138932023
2015-03-11,-0.018399721635762308
2015-03-12,0.017917794031602572
2015-03-13,-0.0069346127212440226
2015-03-16,0.010944031198508205
2015-03-17,0.016588380712438712
2015-03-18,0.011193348790659184
2015-03-19,-0.007578979703598384
2015-03-20,-0.012628193993785243
2015-03-23,0.01035113474169842
2015-03-24,-0.004096099823425397
2015-03-25,-0.02647392552189855
2015-03-26,0.006946028251305453
2015-03-27,-0.008000358716235244
2015-03-30,0.024999459253001927
2015-03-31,-0.015471067174553804
2015-04-01,-0.0014474797847548336
2015-04-02,0.008574781835533276
2015-04-06,0.016068646263815215
2015-04-07,-0.010577943347510199
2015-04-08,-0.003258955630049258
2015-04-09,0.007613976636951125
2015-04-10,0.004258002174115796
2015-04-13,-0.0019689911593323284
2015-04-14,-0.004345245413291042
2015-04-15,0.0037930676575736602
2015-04-16,-0.004822942212770346
2015-04-17,-0.011318263077855339
2015-04-20,0.022588562486582784
2015-04-21,-0.00542243516921194
2015-04-22,0.013384173670827493
2015-04-23,0.008130690935704598
2015-04-24,0.004693067498097848
2015-04-27,0.01802803428625851
2015-04-28,-0.015881096801478124
2015-04-29,-0.014815014337618997
2015-04-30,-0.027505031528746792
2015-05-01,0.029911781798366205
2015-05-04,-0.0019406491682120706
2015-05-05,-0.022790490865820773
2015-05-06,-0.006299836904022606
2015-05-07,0.0061660972606059185
2015-05-08,0.018665897222808217
2015-05-11,-0.010238995582225002
2015-05-12,-0.0035684367857044875
2015-05-13,0.0011112613267824363
2015-05-14,0.0230634912811903
2015-05-15,-0.001396851845849735
2015-05-18,0.0109673298896139
2015-05-19,-0.0009221677076966568
2015-05-20,-7.71533849332479e-05
2015-05-21,0.010174266724775735
2015-05-22,0.008714067812270517
2015-05-26,-0.02227682149825157
2015-05-27,0.018497498984312175
2015-05-28,-0.001970886301043228
2015-05-29,-0.011448014622215319
2015-06-01,0.0019939479495943123
2015-06-02,-0.004453230709725055
2015-06-03,0.001230233580872975
2015-06-04,-0.005857465602132398
2015-06-05,-0.0055038144025478615
2015-06-08,-0.006629029479475551
2015-06-09,-0.0029780793202317654
2015-06-10,0.01139346091652381
2015-06-11,-0.0022529486003009655
2015-06-12,-0.01110422068921649
2015-06-15,-0.001967706462434037
2015-06-16,0.005343390044683242
2015-06-17,-0.002353865032400831
2015-06-18,0.004545671344758142
2015-06-19,-0.01005946442247753
2015-06-22,0.007945964804072878
2015-06-23,-0.004555512068576464
2015-06-24,0.008466110455404668
2015-06-25,-0.004773045027401237
2015-06-26,-0.005899688494541814
2015-06-29,-0.0176700048315518
2015-06-30,0.007201319102498999
2015-07-01,0.009284856060094637
2015-07-02,-0.0012646623946741685
2015-07-06,-0.0034860064261341118
2015-07-07,-0.002463422962985659
2015-07-08,-0.025136341047412337
2015-07-09,-0.020607386848327292
2015-07-10,0.026383150424686745
2015-07-13,0.01912171050392628
2015-07-14,-0.00039794432154936847
2015-07-15,0.009586895583170977
2015-07-16,0.013237890007774703
2015-07-17,0.008600640304980863
2015-07-20,0.018724954653469784
2015-07-21,-0.010044862325882266
2015-07-22,-0.04321512147708703
2015-07-23,-0.00047944855618280814
2015-07-24,-0.005287038686138103
2015-07-27,-0.013992909723984258
2015-07-28,0.004956343228620558
2015-07-29,-0.0031661727274049584
2015-07-30,-0.0050537532023031805
2015-07-31,-0.008782474204024218
2015-08-03,-0.023860066271197106
2015-08-04,-0.032609634843813615
2015-08-05,0.006607242832561098
2015-08-06,0.0021738024763722193
2015-08-07,0.003381738920947936
2015-08-10,0.035712019230191114
2015-08-11,-0.053441007769248275
2015-08-12,0.015302065701406251
2015-08-13,-0.0007811453348820472
2015-08-14,0.007009755473650259
2015-08-17,0.010295282727710672
2015-08-18,-0.005649553999169959
2015-08-19,-0.012871960905382191
2015-08-20,-0.020733536960131155
2015-08-21,-0.06311304691977217
2015-08-24,-0.025279407090273192
2015-08-25,0.005994496137479719
2015-08-26,0.0557704097679305
2015-08-27,0.029021511334232246
2015-08-28,0.0032712443466212148
2015-08-31,-0.004688854409016387
2015-09-01,-0.04572690464980566
2015-09-02,0.04199490802567997
2015-09-03,-0.017691691440547636
2015-09-04,-0.010016319423825203
2015-09-08,0.02744120285563317
2015-09-09,-0.019419890688285212
2015-09-10,0.021732127136524233
2015-09-11,0.014463287368324314
2015-09-14,0.009585148946524727
2015-09-15,0.008377268767910683
2015-09-16,0.0011170954203453842
2015-09-17,-0.021621696664992262
2015-09-18,-0.004134398664709281
2015-09-21,0.015394575865070296
2015-09-22,-0.015835167896778492
2015-09-23,0.008080123629729909
2015-09-24,0.0059306517085933015
2015-09-25,-0.002525214865856514
2015-09-28,-0.01998734998671515
2015-09-29,-0.030521426405054685
2015-09-30,0.011305663961419089
2015-10-01,-0.0065491230111348695
2015-10-02,0.007274256780546422
2015-10-05,0.00361726616301969
2015-10-06,0.004772765794015684
2015-10-07,-0.004772765794015679
2015-10-08,-0.011621875176873752
2015-10-09,0.023645497343336343
2015-10-12,-0.004648912890761007
2015-10-13,0.0017012151815930486
2015-10-14,-0.014234545989733194
2015-10-15,0.014860488799971042
2015-10-16,-0.007357580335211356
2015-10-19,0.006194640315185637
2015-10-20,0.01809334622950233
2015-10-21,-8.75118730035626e-05
2015-10-22,0.015179239234180464
2015-10-23,0.030525306072522282
2015-10-26,-0.03243191407347218
2015-10-27,-0.006352302102219339
2015-10-28,0.04037836999244576
2015-10-29,0.010508829555030337
2015-10-30,-0.008582204213681877
2015-11-02,0.013960591848277635
2015-11-03,0.011405177996136518
2015-11-04,-0.004661117440844742
2015-11-05,-0.004620460278502037
2015-11-06,0.0011570831413325803
2015-11-09,-0.004055837251884079
2015-11-10,-0.03202431355568247
2015-11-11,-0.005667976653802469
2015-11-12,-0.003364548123189314
2015-11-13,-0.029643537730476455
2015-11-16,0.016245979634140515
2015-11-17,-0.004300528365854148
2015-11-18,0.0311740585690158
2015-11-19,0.012623496472716052
2015-11-20,0.004368277057227359
2015-11-23,-0.01307765748219028
2015-11-24,0.009550739254088595
2015-11-25,-0.007175647689911151
2015-11-27,-0.001865704140141068
2015-11-30,0.00415073020267922
2015-12-01,-0.008148265731893997
2015-12-02,-0.009074428050411977
2015-12-03,-0.009331453711147806
2015-12-04,0.0327056945717464
2015-12-07,-0.006320372629779754
2015-12-08,-0.00042343954675384517
2015-12-09,-0.02232243063086511
2015-12-10,0.0047454729095429415
2015-12-11,-0.02607512722425986
2015-12-14,-0.00620384256835664
2015-12-15,-0.017850615576163312
2015-12-16,0.007663452544510958
2015-12-17,-0.02142400494311098
2015-12-18,-0.02744234435905411
2015-12-21,0.012186376841827405
2015-12-22,-0.000932650297732086
2015-12-23,0.012787516495170478
2015-12-24,-0.0053546245518265945
2015-12-28,-0.01126382926573049
