stock_symbol,M,Delay,Lyapunov exponent
AAPL,5,6,0.019143
AAPL,7,6,0.014844
AAPL,9,6,0.011599
ADBE,5,7,0.015600
ADBE,7,7,0.011760
ADBE,9,7,0.008874
AMAT,6,6,0.017554
AMAT,8,6,0.013197
AMAT,10,6,0.010659
AMZN,7,5,0.017792
AMZN,9,5,0.013688
AMZN,11,5,0.010704
CSCO,4,5,0.022233
CSCO,6,5,0.019992
CSCO,8,5,0.016144
GOOGL,7,8,0.009351
GOOGL,9,8,0.007460
GOOGL,11,8,0.006300
INTC,5,6,0.018314
INTC,7,6,0.013960
INTC,9,6,0.011075
INTU,5,5,0.021087
INTU,7,5,0.017599
INTU,9,5,0.014059
KLAC,7,7,0.011793
KLAC,9,7,0.009485
KLAC,11,7,0.007663
LRCX,5,6,0.019407
LRCX,7,6,0.015019
LRCX,9,6,0.011538
META,5,5,0.020860
META,7,5,0.018287
META,9,5,0.014339
MSFT,5,6,0.017163
MSFT,7,6,0.013061
MSFT,9,6,0.009486
MU,6,7,0.015028
MU,8,7,0.010982
MU,10,7,0.008683
NFLX,5,6,0.019722
NFLX,7,6,0.015346
NFLX,9,6,0.011088
NVDA,6,6,0.017847
NVDA,8,6,0.013301
NVDA,10,6,0.010293
QCOM,6,6,0.017100
QCOM,8,6,0.012987
QCOM,10,6,0.010175
TSLA,5,6,0.020260
TSLA,7,6,0.015647
TSLA,9,6,0.011558
TXN,7,5,0.017737
TXN,9,5,0.014265
TXN,11,5,0.011883
