stock_symbol,M,Delay,Lyapunov exponent
AAPL,5,6,0.019143
ADBE,5,7,0.015600
AMAT,6,6,0.017554
AMZN,7,5,0.017792
CSCO,4,5,0.022233
GOOGL,7,8,0.009351
INTC,5,6,0.018314
INTU,5,5,0.021087
KLAC,7,7,0.011793
LRCX,5,6,0.019407
META,5,5,0.020860
MSFT,5,6,0.017163
MU,6,7,0.015028
NFLX,5,6,0.019722
NVDA,6,6,0.017847
QCOM,6,6,0.017100
TSLA,5,6,0.020260
TXN,7,5,0.017737
